18778.775391,18023.371094
6858.500000,7264.357910
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
6095.233398,6441.169434
6095.233398,6441.169922
